Date,Type,Value,Limit
2019-10-03,VAR,3431.8410500000036,2500.0
2019-10-04,VAR,3431.8410500000036,2500.0
2019-10-07,VAR,3431.8410500000036,2500.0
2019-10-08,VAR,3431.8410500000036,2500.0
2019-10-09,VAR,3200.9279499999984,2500.0
2019-10-10,VAR,3200.9279499999984,2500.0
2019-10-11,VAR,3200.9279499999984,2500.0
2019-10-14,VAR,3200.9279499999984,2500.0
2019-10-15,VAR,3200.9279499999984,2500.0
2019-10-16,VAR,3200.9279499999984,2500.0
2019-10-17,VAR,3200.9279499999984,2500.0
2019-10-18,VAR,3200.9279499999984,2500.0
2019-10-21,VAR,3200.9279499999984,2500.0
2019-10-22,VAR,3200.9279499999984,2500.0
2019-10-23,VAR,2966.114800000002,2500.0
2019-10-24,VAR,2966.114800000002,2500.0
2019-10-25,VAR,2966.114800000002,2500.0
2019-10-28,VAR,2966.114800000002,2500.0
2019-10-29,VAR,2966.114800000002,2500.0
2019-10-30,VAR,2966.114800000002,2500.0
2019-10-31,VAR,2966.114800000002,2500.0
2019-11-01,VAR,2966.114800000002,2500.0
2019-11-04,VAR,2966.114800000002,2500.0
2019-11-05,VAR,2966.114800000002,2500.0
2019-11-06,VAR,2966.114800000002,2500.0
2019-11-07,VAR,2966.114800000002,2500.0
2019-11-08,VAR,2966.114800000002,2500.0
2019-11-11,VAR,2966.114800000002,2500.0
2019-11-12,VAR,2966.114800000002,2500.0
2019-11-13,VAR,2966.114800000002,2500.0
2019-11-14,VAR,2966.114800000002,2500.0
2019-11-15,VAR,2966.114800000002,2500.0
2019-11-18,VAR,2966.114800000002,2500.0
2019-11-19,VAR,2966.114800000002,2500.0
2019-11-20,VAR,2966.114800000002,2500.0
2019-11-21,VAR,2966.114800000002,2500.0
2019-11-22,VAR,2966.114800000002,2500.0
2019-11-25,VAR,2966.114800000002,2500.0
2019-11-26,VAR,2966.114800000002,2500.0
2019-11-27,VAR,2966.114800000002,2500.0
2019-11-29,VAR,2966.114800000002,2500.0
2019-12-02,VAR,2966.114800000002,2500.0
2019-12-03,VAR,2966.114800000002,2500.0
2019-12-04,VAR,2966.114800000002,2500.0
2019-12-05,VAR,2966.114800000002,2500.0
2019-12-06,VAR,2966.114800000002,2500.0
2019-12-09,VAR,2966.114800000002,2500.0
2019-12-10,VAR,2966.114800000002,2500.0
2019-12-11,VAR,2966.114800000002,2500.0
2019-12-12,VAR,2966.114800000002,2500.0
2019-12-13,VAR,2966.114800000002,2500.0
2019-12-16,VAR,2966.114800000002,2500.0
2019-12-17,VAR,2966.114800000002,2500.0
2019-12-18,VAR,2966.114800000002,2500.0
2019-12-19,VAR,2966.114800000002,2500.0
2019-12-20,VAR,2966.114800000002,2500.0
2019-12-23,VAR,2966.114800000002,2500.0
2019-12-24,VAR,2966.114800000002,2500.0
2019-12-26,VAR,2966.114800000002,2500.0
2019-12-27,VAR,2966.114800000002,2500.0
2019-12-30,VAR,2966.114800000002,2500.0
2019-12-31,VAR,2966.114800000002,2500.0
2020-01-02,VAR,2966.114800000002,2500.0
2020-01-03,VAR,2966.114800000002,2500.0
2020-01-06,VAR,2966.114800000002,2500.0
